from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:471616,IDFM:monomodalStopPlace:473384,2,60
IDFM:21718,IDFM:5052,2,322
IDFM:19866,IDFM:7904,2,362
IDFM:494988,IDFM:monomodalStopPlace:43145,2,346
IDFM:16673,IDFM:16674,2,60
IDFM:8251,IDFM:25185,2,60
IDFM:34451,IDFM:34477,2,356
IDFM:463227,IDFM:26180,2,393
IDFM:15617,IDFM:15616,2,60
IDFM:24062,IDFM:24060,2,257
IDFM:24779,IDFM:22059,2,315
IDFM:19084,IDFM:18865,2,60
IDFM:19730,IDFM:24342,2,128
IDFM:27750,IDFM:12241,2,206
IDFM:12944,IDFM:27420,2,284
IDFM:39820,IDFM:460490,2,380
IDFM:485536,IDFM:38806,2,240
IDFM:21305,IDFM:21395,2,246
IDFM:5307,IDFM:5308,2,60
IDFM:412988,IDFM:486381,2,108
IDFM:481007,IDFM:481012,2,60
IDFM:464015,IDFM:23450,2,180
IDFM:20133,IDFM:11904,2,93
IDFM:39980,IDFM:39979,2,60
IDFM:35967,IDFM:35968,2,60
IDFM:470879,IDFM:490812,2,366
IDFM:29040,IDFM:29048,2,282
IDFM:27803,IDFM:17032,2,297
IDFM:495782,IDFM:470914,2,78
IDFM:471030,IDFM:491709,2,308
IDFM:25409,IDFM:39921,2,211
IDFM:27046,IDFM:25726,2,60
IDFM:480465,IDFM:492418,2,135
IDFM:28426,IDFM:21980,2,250
IDFM:39839,IDFM:5079,2,86
IDFM:24258,IDFM:427917,2,82
IDFM:460477,IDFM:32223,2,60
IDFM:480514,IDFM:494368,2,61
IDFM:14239,IDFM:427869,2,60
IDFM:2230,IDFM:3310,2,60
IDFM:485766,IDFM:485772,2,284
IDFM:monomodalStopPlace:46990,IDFM:monomodalStopPlace:44619,2,313
IDFM:25302,IDFM:29432,2,333
IDFM:23767,IDFM:8058,2,171
IDFM:419257,IDFM:19924,2,241
IDFM:30139,IDFM:480104,2,380
IDFM:monomodalStopPlace:473440,IDFM:413323,2,47
IDFM:3132,IDFM:3124,2,136
IDFM:23453,IDFM:22771,2,309
IDFM:5928,IDFM:427761,2,356
IDFM:4201,IDFM:4198,2,319
IDFM:22576,IDFM:26392,2,60
IDFM:32022,IDFM:483635,2,60
IDFM:24748,IDFM:24745,2,332
IDFM:33027,IDFM:33016,2,275
IDFM:471604,IDFM:463006,2,225
IDFM:26938,IDFM:37287,2,381
IDFM:33750,IDFM:16015,2,60
IDFM:34943,IDFM:34941,2,358
IDFM:492270,IDFM:11340,2,60
IDFM:480865,IDFM:427465,2,89
IDFM:7616,IDFM:7615,2,102
IDFM:491411,IDFM:472950,2,376
IDFM:22059,IDFM:24781,2,205
IDFM:29465,IDFM:29464,2,377
IDFM:monomodalStopPlace:473595,IDFM:27642,2,271
IDFM:5972,IDFM:32888,2,60
IDFM:16873,IDFM:monomodalStopPlace:473243,2,351
IDFM:463080,IDFM:36947,2,221
IDFM:23660,IDFM:22743,2,372
IDFM:29774,IDFM:423701,2,333
IDFM:16933,IDFM:7921,2,153
IDFM:39254,IDFM:39253,2,249
IDFM:426548,IDFM:419550,2,225
IDFM:3159,IDFM:3158,2,79
IDFM:419721,IDFM:2181,2,370
IDFM:39445,IDFM:39362,2,87
IDFM:415256,IDFM:415257,2,69
IDFM:24559,IDFM:18046,2,344
IDFM:18782,IDFM:18783,2,60
IDFM:425661,IDFM:21023,2,380
IDFM:25824,IDFM:monomodalStopPlace:473257,2,370
IDFM:16682,IDFM:16678,2,278
IDFM:8087,IDFM:8086,2,71
IDFM:24826,IDFM:37081,2,299
IDFM:490594,IDFM:462427,2,60
IDFM:491622,IDFM:28411,2,350
IDFM:24641,IDFM:23251,2,105
IDFM:34295,IDFM:477741,2,177
IDFM:36637,IDFM:26831,2,340
IDFM:22168,IDFM:463026,2,162
IDFM:41561,IDFM:41564,2,60
IDFM:24815,IDFM:28513,2,356
IDFM:495462,IDFM:419675,2,342
IDFM:10365,IDFM:10363,2,244
IDFM:29212,IDFM:29211,2,60
IDFM:26705,IDFM:486432,2,109
IDFM:31309,IDFM:31272,2,60
IDFM:22837,IDFM:28979,2,346
IDFM:monomodalStopPlace:473520,IDFM:480514,2,60
IDFM:16581,IDFM:16579,2,291
IDFM:monomodalStopPlace:45346,IDFM:8443,2,618
IDFM:491503,IDFM:478663,2,60
IDFM:35368,IDFM:411552,2,230
IDFM:425724,IDFM:494975,2,60
IDFM:426152,IDFM:480760,2,134
IDFM:16665,IDFM:16471,2,282
IDFM:20809,IDFM:20770,2,297
IDFM:38421,IDFM:38447,2,102
IDFM:32466,IDFM:484095,2,359
IDFM:28134,IDFM:39567,2,267
IDFM:460489,IDFM:460491,2,60
IDFM:32278,IDFM:32118,2,319
IDFM:40031,IDFM:39396,2,142
IDFM:37227,IDFM:24881,2,149
IDFM:22248,IDFM:23332,2,221
IDFM:422956,IDFM:419250,2,60
IDFM:483463,IDFM:24257,2,323
IDFM:40090,IDFM:415096,2,354
IDFM:492902,IDFM:471198,2,281
IDFM:28499,IDFM:22394,2,364
IDFM:26066,IDFM:41428,2,380
IDFM:23567,IDFM:22847,2,89
IDFM:491253,IDFM:490993,2,63
IDFM:486521,IDFM:19650,2,213
IDFM:21963,IDFM:37512,2,221
IDFM:monomodalStopPlace:477262,IDFM:471738,2,87
IDFM:35164,IDFM:24714,2,280
IDFM:420998,IDFM:13431,2,308
IDFM:20318,IDFM:18071,2,117
IDFM:20577,IDFM:411694,2,271
IDFM:34575,IDFM:32318,2,211
IDFM:463003,IDFM:41261,2,239
IDFM:28710,IDFM:7749,2,291
IDFM:25331,IDFM:9139,2,154
IDFM:481471,IDFM:14437,2,112
IDFM:490835,IDFM:35929,2,360
IDFM:422698,IDFM:7288,2,60
IDFM:420054,IDFM:23529,2,160
IDFM:42017,IDFM:491276,2,114
IDFM:426866,IDFM:3792,2,351
IDFM:4049,IDFM:487105,2,129
IDFM:17316,IDFM:13122,2,271
IDFM:461965,IDFM:21643,2,303
IDFM:25451,IDFM:22296,2,60
IDFM:3181,IDFM:3180,2,60
IDFM:38779,IDFM:426512,2,355
IDFM:19349,IDFM:19097,2,101
IDFM:482454,IDFM:2973,2,210
IDFM:486555,IDFM:22559,2,183
IDFM:27451,IDFM:36731,2,359
IDFM:monomodalStopPlace:43213,IDFM:474406,2,216
IDFM:39917,IDFM:463548,2,193
IDFM:4595,IDFM:31237,2,60
IDFM:2816,IDFM:2815,2,155
IDFM:417043,IDFM:417042,2,60
IDFM:32606,IDFM:32612,2,346
IDFM:29012,IDFM:40817,2,60
IDFM:462972,IDFM:463300,2,140
IDFM:471341,IDFM:472273,2,20
IDFM:28689,IDFM:28687,2,307
IDFM:39093,IDFM:40767,2,131
IDFM:7527,IDFM:7418,2,309
IDFM:419195,IDFM:421879,2,381
IDFM:22112,IDFM:463623,2,375
IDFM:463148,IDFM:34166,2,243
IDFM:9791,IDFM:412428,2,501
IDFM:494237,IDFM:26074,2,372
IDFM:28771,IDFM:28772,2,60
IDFM:31917,IDFM:31912,2,60
IDFM:486206,IDFM:423069,2,60
IDFM:15859,IDFM:15860,2,88
IDFM:monomodalStopPlace:43171,IDFM:2182,2,332
IDFM:37358,IDFM:23518,2,269
IDFM:480172,IDFM:487127,2,60
IDFM:40023,IDFM:479844,2,60
IDFM:463662,IDFM:22209,2,280
IDFM:2613,IDFM:2590,2,368
IDFM:488289,IDFM:493640,2,122
IDFM:481003,IDFM:481016,2,60
IDFM:33336,IDFM:41753,2,60
IDFM:425648,IDFM:34256,2,60
IDFM:417775,IDFM:417778,2,60
IDFM:34190,IDFM:26450,2,288
IDFM:24424,IDFM:19555,2,96
IDFM:479285,IDFM:462242,2,254
IDFM:35985,IDFM:35983,2,247
IDFM:16512,IDFM:16511,2,60
IDFM:28560,IDFM:21963,2,363
IDFM:14730,IDFM:14731,2,60
IDFM:472354,IDFM:490812,2,273
IDFM:37624,IDFM:491037,2,134
IDFM:471795,IDFM:419203,2,240
IDFM:24454,IDFM:35823,2,262
IDFM:34223,IDFM:29262,2,250
IDFM:35182,IDFM:22236,2,334
IDFM:7956,IDFM:480986,2,307
IDFM:16714,IDFM:16891,2,101
IDFM:24415,IDFM:26370,2,60
IDFM:492066,IDFM:491136,2,60
IDFM:11310,IDFM:8557,2,66
IDFM:478977,IDFM:23203,2,74
IDFM:423584,IDFM:38049,2,283
IDFM:492383,IDFM:monomodalStopPlace:473486,2,184
IDFM:471077,IDFM:471030,2,218
IDFM:2741,IDFM:monomodalStopPlace:473049,2,190
IDFM:11790,IDFM:35983,2,217
IDFM:14550,IDFM:14551,2,60
IDFM:420825,IDFM:3855,2,81
IDFM:monomodalStopPlace:43097,IDFM:479476,2,218
IDFM:28015,IDFM:28021,2,60
IDFM:33541,IDFM:486751,2,60
IDFM:482580,IDFM:462056,2,315
IDFM:29206,IDFM:29203,2,303
IDFM:19339,IDFM:19460,2,330
IDFM:11809,IDFM:478609,2,378
IDFM:472766,IDFM:472060,2,22
IDFM:38591,IDFM:38548,2,166
IDFM:13654,IDFM:40550,2,331
IDFM:493253,IDFM:7866,2,195
IDFM:8316,IDFM:22085,2,242
IDFM:19254,IDFM:19432,2,328
IDFM:20140,IDFM:9442,2,345
IDFM:22082,IDFM:27332,2,382
IDFM:37565,IDFM:471646,2,142
IDFM:22480,IDFM:16665,2,334
IDFM:23448,IDFM:39456,2,269
IDFM:419606,IDFM:38461,2,228
IDFM:35394,IDFM:427759,2,60
IDFM:472464,IDFM:37470,2,289
IDFM:25510,IDFM:8126,2,60
IDFM:427171,IDFM:24901,2,251
IDFM:5730,IDFM:5729,2,380
IDFM:34902,IDFM:471907,2,112
IDFM:9840,IDFM:10033,2,60
IDFM:42058,IDFM:37985,2,141
IDFM:24245,IDFM:490589,2,60
IDFM:16224,IDFM:486876,2,78
IDFM:7847,IDFM:24141,2,110
IDFM:18874,IDFM:19545,2,60
IDFM:37591,IDFM:36670,2,60
IDFM:7349,IDFM:7350,2,60
IDFM:4338,IDFM:4336,2,83
IDFM:22293,IDFM:26871,2,108
IDFM:493238,IDFM:monomodalStopPlace:473256,2,198
IDFM:417792,IDFM:10534,2,60
IDFM:21543,IDFM:20044,2,182
IDFM:28649,IDFM:12807,2,356
IDFM:20705,IDFM:20714,2,60
IDFM:422526,IDFM:478392,2,204
IDFM:37521,IDFM:25568,2,214
IDFM:491261,IDFM:463242,2,246
IDFM:423010,IDFM:22778,2,60
