route_id,route_short_name,route_type,route_color
IDFM:C01566,9105,3,3BB2FF
IDFM:C01246,255,3,6E6E00
IDFM:C01247,256,3,6E5B1E
IDFM:C01248,258,3,FF1400
IDFM:C01249,261,3,FF1400
IDFM:C01250,262,3,A0006E
IDFM:C01776,2129,3,A50034
IDFM:C01197,176,3,DC9600
IDFM:C01198,177,3,82DC73
IDFM:C01252,269,3,FF5A00
IDFM:C00299,1510,3,CEC73D
IDFM:C00507,5284,3,FFBE00
IDFM:C01254,272,3,FF5A00
IDFM:C01255,274,3,FF1400
IDFM:C00504,5337,3,A50034
IDFM:C01724,3210,3,FF5A00
IDFM:C01807,N66,3,FF1400
IDFM:C01756,337,3,640082
IDFM:C01763,4554,3,0055C8
IDFM:C01764,4321,3,FF5A00
IDFM:C01766,4636,3,FF6600
IDFM:C01823,Filéo SP,3,E01921
IDFM:C01839,PORT,3,9A9940
IDFM:C00735,5447,3,5091CB
IDFM:C00508,5285,3,DC9600
IDFM:C00522,5227,3,00643C
IDFM:C02041,CitéVal F,3,9FC005
IDFM:C00100,4323,3,82C8E6
IDFM:C00505,5282,3,FF1400
IDFM:C00024,3109,3,D2D200
IDFM:C01765,4322,3,FF82B4
